text,category,tfidf_lr,tfidf_svm,semantic_lr,semantic_svm,mlp,tfidf_lr_correct,tfidf_svm_correct,semantic_lr_correct,semantic_svm_correct,mlp_correct
How do I locate my card?,card_arrival,get_physical_card,get_physical_card,lost_or_stolen_card,lost_or_stolen_card,lost_or_stolen_card,False,False,False,False,False
I ordered a card but it has not arrived. Help please!,card_arrival,transfer_not_received_by_recipient,transfer_not_received_by_recipient,order_physical_card,order_physical_card,card_arrival,False,False,False,False,True
Is there a way to know when my card will arrive?,card_arrival,card_arrival,card_arrival,card_arrival,card_delivery_estimate,card_arrival,True,True,True,False,True
When will I get my card?,card_arrival,card_delivery_estimate,card_delivery_estimate,card_delivery_estimate,card_delivery_estimate,card_delivery_estimate,False,False,False,False,False
How long does a card delivery take?,card_arrival,card_delivery_estimate,card_delivery_estimate,card_delivery_estimate,card_delivery_estimate,card_delivery_estimate,False,False,False,False,False
"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?",card_arrival,card_arrival,card_arrival,card_delivery_estimate,card_delivery_estimate,card_arrival,True,True,False,False,True
How long should my new card take to arrive?,card_arrival,card_arrival,card_arrival,card_delivery_estimate,card_delivery_estimate,card_arrival,True,True,False,False,True
How do I know when my card will arrive?,card_arrival,card_arrival,card_arrival,card_arrival,card_delivery_estimate,card_arrival,True,True,True,False,True
Is it a good time to exchange?,exchange_rate,exchange_charge,exchange_charge,card_delivery_estimate,transfer_not_received_by_recipient,exchange_rate,False,False,False,False,True
I made a currency exchange and think I was charged more than I should of been.,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,True,True,True,False,True
Why am I being charged more ?,card_payment_wrong_exchange_rate,transaction_charged_twice,card_payment_fee_charged,extra_charge_on_statement,transaction_charged_twice,extra_charge_on_statement,False,False,False,False,False
How can I check the exchange rate applied to my transaction?,card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal,wrong_exchange_rate_for_cash_withdrawal,exchange_rate,exchange_rate,card_payment_wrong_exchange_rate,False,False,False,False,True
Can you explain what this random $1 charge is?,extra_charge_on_statement,card_payment_not_recognised,card_payment_not_recognised,extra_charge_on_statement,card_payment_not_recognised,card_payment_not_recognised,False,False,True,False,False
When will the $1 transaction be credited to me?,extra_charge_on_statement,transfer_not_received_by_recipient,transfer_not_received_by_recipient,transfer_not_received_by_recipient,transfer_not_received_by_recipient,transfer_not_received_by_recipient,False,False,False,False,False
Where did this fee come from?,extra_charge_on_statement,transfer_fee_charged,transfer_fee_charged,card_payment_fee_charged,card_payment_fee_charged,card_payment_fee_charged,False,False,False,False,False
Where did this 1 euro fee come from?,extra_charge_on_statement,verify_source_of_funds,transfer_fee_charged,exchange_charge,transfer_fee_charged,card_payment_wrong_exchange_rate,False,False,False,False,False
