text,category,word_count,char_count,clean_text
I am still waiting on my card?,card_arrival,7,30,i am still waiting on my card
What can I do if my card still hasn't arrived after 2 weeks?,card_arrival,13,60,what can i do if my card still ha n't arrived after week
I have been waiting over a week. Is the card still coming?,card_arrival,12,58,i have been waiting over a week is the card still coming
Can I track my card while it is in the process of delivery?,card_arrival,13,59,can i track my card while it is in the process of delivery
"How do I know if I will get my card, or if it is lost?",card_arrival,15,54,how do i know if i will get my card or if it is lost
When did you send me my new card?,card_arrival,8,33,when did you send me my new card
Do you have info about the card on delivery?,card_arrival,9,44,do you have info about the card on delivery
What do I do if I still have not received my new card?,card_arrival,13,54,what do i do if i still have not received my new card
Does the package with my card have tracking?,card_arrival,8,44,doe the package with my card have tracking
I ordered my card but it still isn't here,card_arrival,9,41,i ordered my card but it still is n't here
Why has my new card still not come?,card_arrival,8,35,why ha my new card still not come
"I still haven't received my card after two weeks, is it lost?",card_arrival,12,61,i still have n't received my card after two week is it lost
Can you track my card for me?,card_arrival,7,29,can you track my card for me
Is there a way to track the delivery of my card?,card_arrival,11,48,is there a way to track the delivery of my card
It's been a week since I ordered my card and it's not here. Please help?,card_arrival,15,72,it 's been a week since i ordered my card and it 's not here please help
Will I be able to track the card that was sent to me?,card_arrival,13,53,will i be able to track the card that wa sent to me
I don't have my card in 1 week.  Should I be worried?,card_arrival,12,53,i do n't have my card in week should i be worried
How do I know when my new card is going to arrive?,card_arrival,12,50,how do i know when my new card is going to arrive
My new card has not been delivered to my home yet. What is going on?,card_arrival,15,68,my new card ha not been delivered to my home yet what is going on
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,20,93,it 's been a week since you issued me a card and i still did n't get it should i keep waiting
"On the card that is coming, what's the tracking info?",card_arrival,10,53,on the card that is coming what 's the tracking info
What is the status of my card's delivery?,card_arrival,8,41,what is the status of my card 's delivery
Have you sent out my card yet?,card_arrival,7,30,have you sent out my card yet
My card isn't here yet.,card_arrival,5,23,my card is n't here yet
where is my new card?,card_arrival,5,21,where is my new card
It's been a week since you sent my card and I still don't have it.,card_arrival,15,66,it 's been a week since you sent my card and i still do n't have it
How do I track the card you sent me?,card_arrival,9,36,how do i track the card you sent me
When will I recieve my new card?,card_arrival,7,32,when will i recieve my new card
When will I get my new card?,card_arrival,7,28,when will i get my new card
What is the expected delivery date for my card?,card_arrival,9,47,what is the expected delivery date for my card
Is there a tracking number for the card you sent me?,card_arrival,11,52,is there a tracking number for the card you sent me
I would like to track the card you sent to me.,card_arrival,11,46,i would like to track the card you sent to me
Has my card been lost in delivery?,card_arrival,7,34,ha my card been lost in delivery
My new card hasn't came in.,card_arrival,6,27,my new card ha n't came in
Where is the card I ordered 2 weeks ago?,card_arrival,9,40,where is the card i ordered week ago
Can I get an update on my replacement card?,card_arrival,9,43,can i get an update on my replacement card
How long does it take for a new card to ship?,card_arrival,11,45,how long doe it take for a new card to ship
What's the tracking on the card you sent?,card_arrival,8,41,what 's the tracking on the card you sent
I haven't received my card and am worried it is lost.,card_arrival,11,53,i have n't received my card and am worried it is lost
My card still hasn't been delivered,card_arrival,6,35,my card still ha n't been delivered
I need to find out where the card is that I ordered.,card_arrival,12,52,i need to find out where the card is that i ordered
